ville,lien,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aunay-sous-Auneau (28700),/management/ville/aunay-sous-auneau/ville-28013,6.5,7,6.8,6.8,5.8,5.3,7,7.3,7.3,8,8.5,8.6,8.6,8.3,7.8,7.5,7.2
Aunay-sous-Crécy (28500),/management/ville/aunay-sous-crecy/ville-28014,9.8,10.6,10.4,10.4,9.7,8.8,11,11.5,11.3,11.9,12.4,12.5,12.5,12.4,11.4,10.9,10.5
Auneau-Bleury-Saint-Symphorien (28700),/management/ville/auneau-bleury-saint-symphorien/ville-28015,6.5,7,6.8,6.8,5.8,5.3,7,7.3,7.3,8,8.5,8.6,8.6,8.3,7.8,7.5,7.2
Auneuil (60390),/management/ville/auneuil/ville-60029,7.6,8.1,8.3,8.3,7.5,7,9,9.2,8.7,9.4,10.3,10.3,10.5,10.3,9.6,9.4,8.7
Aunou-le-Faucon (61200),/management/ville/aunou-le-faucon/ville-61014,8.7,10,9.2,9.2,8.3,8.3,9.8,9.2,9.2,9.5,9.8,9.4,9.5,9.1,8.4,8.2,7.5
Aunou-sur-Orne (61500),/management/ville/aunou-sur-orne/ville-61015,7.4,7.6,7.6,7.6,6.8,6.8,8.5,8,8.1,9,9.4,9.5,9.8,9.5,8.8,8.4,7.9
Auppegard (76730),/management/ville/auppegard/ville-76036,9.1,9.1,9.2,9.2,8.1,7.7,9.4,9.1,9.2,9.8,10.1,9.9,9.9,10,9.4,8.8,8.3
Aups (83630),/management/ville/aups/ville-83007,11.3,11.2,10.6,10.6,10.3,9.6,11.3,11.3,11.4,11.9,12.7,12.9,12.8,12.3,11.8,11.5,10.9
Auradé (32600),/management/ville/aurade/ville-32016,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Auradou (47140),/management/ville/auradou/ville-47017,8.7,8.9,9.2,9.2,8.4,8.1,10,10.6,10.6,11,11.3,11.4,11.8,11.6,10.6,10.3,10
Auragne (31190),/management/ville/auragne/ville-31024,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Auray (56400),/management/ville/auray/ville-56007,7.1,7.2,7.2,7.2,6.4,6,7.7,7.8,7.7,8.3,9,9,9.2,8.9,8.1,7.7,7.1
Aure (08400),/management/ville/aure/ville-08031,8.3,8.7,9.1,9.1,8,7.5,9.3,9.1,9.3,10,10.8,10.9,10.9,10.5,9.7,9.3,8.9
Aure sur Mer (14520),/management/ville/aure-sur-mer/ville-14591,7.6,7.5,8.1,8.1,7,6.5,8,7.8,8.1,8.9,9.2,9,9.3,8.7,7.9,7.5,6.5
Aurec-sur-Loire (43110),/management/ville/aurec-sur-loire/ville-43012,8.2,8.4,8.4,8.4,7.5,7,9.2,8.9,8.8,9.4,9.9,10,10.2,9.9,9.1,8.8,8.1
Aureil (87220),/management/ville/aureil/ville-87005,6.4,6.9,7.4,7.4,6.8,6.4,8.2,8.4,8.7,9.2,9.7,9.7,9.9,9.6,8.7,8.3,7.7
Aureilhan (40200),/management/ville/aureilhan/ville-40019,8.6,9.1,9.5,9.5,8.2,7.7,9.2,9.5,9.7,10.2,10.9,11.2,11.5,11.3,10.6,10,9.4
Aureilhan (65800),/management/ville/aureilhan/ville-65047,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Aureille (13930),/management/ville/aureille/ville-13006,10.6,10.4,10.1,10.1,9.7,9,10.9,11.1,11.4,11.7,12.2,12.1,12.1,11.9,11.1,10.7,9.7
Aurel (26340),/management/ville/aurel/ville-26019,8.4,8.6,8.2,8.2,7.4,7.1,8.6,8.7,8.7,9.5,9.9,9.8,10.1,9.9,9.3,9.1,8.3
Aurel (84390),/management/ville/aurel/ville-84005,9.1,9.1,9.7,9.7,9.1,8.3,10.5,10.7,11.3,12,12.7,12.7,13.1,13.1,12.3,12,11.3
Aurensan (32400),/management/ville/aurensan/ville-32017,6.1,6.3,6.3,6.3,5.6,5.2,6.3,6.7,7,7.5,7.9,7.9,8.1,7.9,7.4,6.9,6.5
Aurensan (65390),/management/ville/aurensan/ville-65048,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Aureville (31320),/management/ville/aureville/ville-31025,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Auriac (11330),/management/ville/auriac/ville-11020,11.4,12,12.4,12.4,11.5,10.9,12.7,13.2,13.3,14.2,15.2,15.7,15.7,15,14.2,14,13.5
Auriac (19220),/management/ville/auriac/ville-19014,4.4,4.7,4.5,4.5,3.9,3.9,5,5.1,5.3,5.9,6.4,6.4,6.8,6.9,6.5,6.3,5.7
Auriac (64450),/management/ville/auriac/ville-64078,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Auriac-du-Périgord (24290),/management/ville/auriac-du-perigord/ville-24018,7.1,7.5,7.6,7.6,6.9,6.6,8.1,8.4,8.8,9.7,10.1,10.2,10.3,10,9.3,8.7,8
Auriac-l'Église (15500),/management/ville/auriac-l-eglise/ville-15013,5.3,5.6,5.6,5.6,5.4,5,5.8,5.4,5.6,6.2,6.5,6.2,6,5.5,4.9,4.7,4.3
Auriac-Lagast (12120),/management/ville/auriac-lagast/ville-12015,4.4,4.5,4.7,4.7,4.2,4.1,5.2,5.4,5.3,5.9,6.5,6.3,6.4,6.3,5.9,5.6,5.3
Auriac-sur-Dropt (47120),/management/ville/auriac-sur-dropt/ville-47018,8,8.2,8.2,8.2,7.2,7.1,8.7,8.9,9,9.5,9.9,9.8,10.2,10.2,9.2,8.9,8.4
Auriac-sur-Vendinelle (31460),/management/ville/auriac-sur-vendinelle/ville-31026,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Auriat (23400),/management/ville/auriat/ville-23012,7,7.4,7.2,7.2,6.9,6.7,7.9,8.5,9,9.5,9.9,9.6,9.7,9.3,8.6,8.6,7.9
Auribail (31190),/management/ville/auribail/ville-31027,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Auribeau (84400),/management/ville/auribeau/ville-84006,9.1,9.1,9.7,9.7,9.1,8.3,10.5,10.7,11.3,12,12.7,12.7,13.1,13.1,12.3,12,11.3
Auribeau-sur-Siagne (06810),/management/ville/auribeau-sur-siagne/ville-06007,9.5,9.5,9,9,8.1,7,8.9,9.2,9.3,9.9,10.5,10.6,10.8,10.7,10.2,9.9,9.1
Aurice (40500),/management/ville/aurice/ville-40020,6.1,6.3,6.3,6.3,5.6,5.2,6.3,6.7,7,7.5,7.9,7.9,8.1,7.9,7.4,6.9,6.5
Auriébat (65700),/management/ville/auriebat/ville-65049,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Aurières (63210),/management/ville/aurieres/ville-63020,6.8,7.2,7.3,7.3,6.8,6.5,8,8.1,7.9,8.2,8.5,8.5,8.7,8.5,7.9,7.6,7.1
Aurignac (31420),/management/ville/aurignac/ville-31028,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Aurillac (15000),/management/ville/aurillac/ville-15014,5.5,5.8,6.1,6.1,5.5,5.1,6.1,5.8,6.1,6.8,7.2,7,7,6.7,6.1,5.7,5.4
Aurimont (32450),/management/ville/aurimont/ville-32018,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Aurin (31570),/management/ville/aurin/ville-31029,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Auriol (13390),/management/ville/auriol/ville-13007,11.6,11.5,11.8,11.8,11.1,10.2,11.5,11.9,12.1,12.5,12.7,12.6,12.6,12.3,11.9,11.6,11
Auriolles (33790),/management/ville/auriolles/ville-33020,8.7,9.1,8.6,8.6,7.6,7,8.4,8.8,8.9,9.5,9.8,9.9,10.1,9.8,9.2,8.7,8
Aurions-Idernes (64350),/management/ville/aurions-idernes/ville-64079,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Auris (38142),/management/ville/auris/ville-38020,7.2,7.4,7.1,7.1,6.4,6,7.7,7.5,7.3,7.7,8,8,8.3,8.2,7.6,7.3,6.8
Aurons (13121),/management/ville/aurons/ville-13008,10.6,10.4,10.1,10.1,9.7,9,10.9,11.1,11.4,11.7,12.2,12.1,12.1,11.9,11.1,10.7,9.7
Auros (33124),/management/ville/auros/ville-33021,8.7,9.1,8.6,8.6,7.6,7,8.4,8.8,8.9,9.5,9.8,9.9,10.1,9.8,9.2,8.7,8
Aurouër (03460),/management/ville/aurouer/ville-03011,6.3,6.6,6.9,6.9,6.2,5.8,7.5,7.7,7.7,8.2,8.5,8.6,8.9,8.8,8.4,8.1,7.9
Auroux (48600),/management/ville/auroux/ville-48010,4.7,4.9,5,5,4.4,4,4.8,4.9,5.2,5.6,6.1,6,6.4,6.3,5.9,5.7,5.4
Aurseulles (14240),/management/ville/aurseulles/ville-14011,8.5,8.7,8.8,8.8,7.8,7,8.8,8.9,8.9,9.4,9.8,9.8,10,9.6,8.9,8.6,7.9
Aussac (81600),/management/ville/aussac/ville-81020,7.7,7.8,8.5,8.5,8.1,7.7,9.2,9.6,9.9,10.4,10.8,10.7,10.9,10.6,10.1,9.7,9.1
Aussac-Vadalle (16560),/management/ville/aussac-vadalle/ville-16024,8.3,8.6,8.7,8.7,8.1,7.7,9.2,9.1,9.4,10.4,10.6,10.4,10.5,10.1,9.3,8.9,8.3
Ausseing (31260),/management/ville/ausseing/ville-31030,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Aussevielle (64230),/management/ville/aussevielle/ville-64080,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Aussillon (81200),/management/ville/aussillon/ville-81021,9.5,9.8,10.4,10.4,9.6,9.1,10.3,10.3,10.5,11.1,11.5,11.6,11.5,11.1,10.3,9.9,9.5
Aussois (73500),/management/ville/aussois/ville-73023,5.5,5.7,5.4,5.4,5.2,5.1,6.9,6.8,6.6,7,7.7,7.6,7.6,7.3,6.8,6.4,5.9
Ausson (31210),/management/ville/ausson/ville-31031,7.8,8.1,8.7,8.7,8.1,8.1,9.8,10,10.2,10.8,11,10.6,10.9,10.7,9.6,9.2,8.9
Aussonce (08310),/management/ville/aussonce/ville-08032,8.3,8.7,9.1,9.1,8,7.5,9.3,9.1,9.3,10,10.8,10.9,10.9,10.5,9.7,9.3,8.9
Aussonne (31840),/management/ville/aussonne/ville-31032,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Aussos (32140),/management/ville/aussos/ville-32468,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Aussurucq (64130),/management/ville/aussurucq/ville-64081,6.3,6.5,6.4,6.4,5.8,6.1,7.4,6.9,6.8,7.2,7.4,7.3,7.1,7,6.6,6.3,5.9
Autainville (41240),/management/ville/autainville/ville-41006,5.8,6.3,6.4,6.4,5.7,5.4,7.1,7.5,7.4,8,8.5,8.8,8.9,8.7,8,7.7,7.4
Autechaux (25110),/management/ville/autechaux/ville-25032,6.7,7,7.3,7.3,6.6,6.3,8.1,8,7.5,7.9,8.3,8.2,8.4,8.3,7.7,7.3,7
Autechaux-Roide (25150),/management/ville/autechaux-roide/ville-25033,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Auterive (31190),/management/ville/auterive/ville-31033,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Auterive (32550),/management/ville/auterive/ville-32019,5.6,5.8,6.3,6.3,5.7,5.5,6.6,6.9,7.2,7.7,8.5,8.4,8.8,8.4,7.6,7.1,6.7
Auterive (82500),/management/ville/auterive/ville-82006,8.4,8.6,9.2,9.2,8.7,8.1,9.5,9.9,10.1,10.7,11.3,11.4,11.9,11.8,11.1,10.6,9.8
Auterrive (64270),/management/ville/auterrive/ville-64082,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Autet (70180),/management/ville/autet/ville-70037,7,7.2,7.5,7.5,6.5,6.3,8.5,7.7,7.7,8.8,9.5,9.7,9.7,9.4,8.9,8.2,7.8
Auteuil (60390),/management/ville/auteuil/ville-60030,7.6,8.1,8.3,8.3,7.5,7,9,9.2,8.7,9.4,10.3,10.3,10.5,10.3,9.6,9.4,8.7
Auteuil (78770),/management/ville/auteuil/ville-78034,4.8,5,4.5,4.5,3.8,3.4,4.3,4.4,4.4,4.5,4.8,4.8,4.8,4.9,4.7,4.6,4.4
Autevielle-Saint-Martin-Bideren (64390),/management/ville/autevielle-saint-martin-bideren/ville-64083,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Authe (08240),/management/ville/authe/ville-08033,12.1,12.3,12.7,12.7,11.2,10.5,12.5,11.4,11.3,12.5,13.2,13,13.2,12.7,11.7,10.9,10.4
Autheuil-Authouillet (27490),/management/ville/autheuil-authouillet/ville-27025,7.3,8,8.3,8.3,7.5,7,8.8,9.1,9,9.8,10.5,10.3,10.4,10.4,9.7,9.2,8.6
Autheuil-en-Valois (60890),/management/ville/autheuil-en-valois/ville-60031,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
Autheux (80600),/management/ville/autheux/ville-80042,9.6,10.1,10.4,10.4,9.8,9,10.9,11,10.9,11.8,12.3,12,12.1,12,11.4,11,10.4
Authevernes (27420),/management/ville/authevernes/ville-27026,8.1,8.5,9,9,8.4,7.7,10,10.3,10.4,11.3,11.6,11.4,11.4,11.1,10.3,9.8,8.9
Authezat (63114),/management/ville/authezat/ville-63021,6.8,7.2,7.3,7.3,6.8,6.5,8,8.1,7.9,8.2,8.5,8.5,8.7,8.5,7.9,7.6,7.1
Authie (14280),/management/ville/authie/ville-14030,8.5,8.7,8.8,8.8,7.8,7,8.8,8.9,8.9,9.4,9.8,9.8,10,9.6,8.9,8.6,7.9
Authie (80560),/management/ville/authie/ville-80043,9.6,10.1,10.4,10.4,9.8,9,10.9,11,10.9,11.8,12.3,12,12.1,12,11.4,11,10.4
Authieule (80600),/management/ville/authieule/ville-80044,9.6,10.1,10.4,10.4,9.8,9,10.9,11,10.9,11.8,12.3,12,12.1,12,11.4,11,10.4
Authieux-Ratiéville (76690),/management/ville/authieux-ratieville/ville-76038,8.8,9.3,9.1,9.1,8.1,7.5,9.4,9.5,9.5,10.2,10.8,10.7,10.7,10.6,9.9,9.4,8.9
Authiou (58700),/management/ville/authiou/ville-58018,6.6,6.7,7,7,6.5,6.1,7.2,7.5,7.7,8.4,8.6,8.5,8.7,8.5,7.7,7.2,7.2
Authoison (70190),/management/ville/authoison/ville-70038,6.4,6.9,7.9,7.9,7.1,6.7,8.9,8.3,8.1,9.2,9.9,9.9,9.6,8.8,8.2,7.8,7.6
Authon (04200),/management/ville/authon/ville-04016,7.5,7.7,8.3,8.3,8.4,8.1,9.1,9.1,9.6,10.5,11.2,11.5,11.7,11.4,11,10.8,9.8
Authon (41310),/management/ville/authon/ville-41007,6.6,6.9,6.4,6.4,5.7,5.9,7.8,7.9,7.5,8.1,8.8,8.5,8.1,7.8,7.2,6.7,6.6
Authon-du-Perche (28330),/management/ville/authon-du-perche/ville-28018,6.4,7.2,6.8,6.8,5.7,6.3,8.3,7.6,7.5,8.3,8.9,9,8.9,8.9,8.5,8,7.7
Authon-Ébéon (17770),/management/ville/authon-ebeon/ville-17026,8.1,8.5,8.9,8.9,8.1,7.6,9.4,9.8,9.7,10.1,10.4,10.5,10.8,10.4,9.7,9.3,8.7
Authon-la-Plaine (91410),/management/ville/authon-la-plaine/ville-91035,5.5,6,5.5,5.5,4.8,4.3,5.5,5.8,5.7,5.9,6.4,6.4,6.5,6.5,6.1,5.9,5.6
Authou (27290),/management/ville/authou/ville-27028,8.4,9,9,9,7.5,7.1,9.5,9.3,9.5,10.7,11.2,11,11.3,11.2,10.2,9.8,9
Authuille (80300),/management/ville/authuille/ville-80045,9.6,10.1,10.4,10.4,9.8,9,10.9,11,10.9,11.8,12.3,12,12.1,12,11.4,11,10.4
Authume (39100),/management/ville/authume/ville-39030,7.1,7.1,7.5,7.5,6.6,6.6,8.9,8.4,7.8,8.5,9.1,8.9,9,8.7,7.7,7.1,6.8
Authumes (71270),/management/ville/authumes/ville-71013,7.5,7.6,7.5,7.5,6.7,6.2,8.2,8.4,8.5,9.1,9.3,9.1,9.3,9.1,8.3,7.8,7.6
Autichamp (26400),/management/ville/autichamp/ville-26021,8.4,8.6,8.2,8.2,7.4,7.1,8.6,8.7,8.7,9.5,9.9,9.8,10.1,9.9,9.3,9.1,8.3
Autignac (34480),/management/ville/autignac/ville-34018,11.1,11.5,11.6,11.6,11,10.9,13.1,13.3,13.4,14.4,15,15.1,15,14.7,13.9,13.8,13.3
Autigny (76740),/management/ville/autigny/ville-76040,9.1,9.1,9.2,9.2,8.1,7.7,9.4,9.1,9.2,9.8,10.1,9.9,9.9,10,9.4,8.8,8.3
Autigny-la-Tour (88300),/management/ville/autigny-la-tour/ville-88019,7.6,8.3,7.7,7.7,7.1,6.6,8.4,8.7,9,9.8,10.6,10.1,10,9.3,8.4,7.9,7.3
Autigny-le-Grand (52300),/management/ville/autigny-le-grand/ville-52029,9.2,9.9,10.1,10.1,9,8.6,10.8,10.1,10,11.2,12.1,11.9,11.9,11.3,10.3,9.8,8.8
Autigny-le-Petit (52300),/management/ville/autigny-le-petit/ville-52030,9.2,9.9,10.1,10.1,9,8.6,10.8,10.1,10,11.2,12.1,11.9,11.9,11.3,10.3,9.8,8.8
Autingues (62610),/management/ville/autingues/ville-62059,12.5,13.4,14.8,14.8,13.7,13.2,15.3,15.5,15.3,16.1,16.6,15.8,15.9,15.3,14.3,13.8,12.7
Autoire (46400),/management/ville/autoire/ville-46011,6.1,6.4,6.4,6.4,5.8,5.5,7.2,7,7.4,8.4,9,8.9,9.1,9.1,8.3,8,7.4
Autoreille (70700),/management/ville/autoreille/ville-70039,6.7,7,7.3,7.3,6.6,6.3,8.1,8,7.5,7.9,8.3,8.2,8.4,8.3,7.7,7.3,7
Autouillet (78770),/management/ville/autouillet/ville-78036,4.8,5,4.5,4.5,3.8,3.4,4.3,4.4,4.4,4.5,4.8,4.8,4.8,4.9,4.7,4.6,4.4
Autrac (43450),/management/ville/autrac/ville-43014,6.9,7.3,7.5,7.5,7.2,6.7,8,7.5,7.9,9,9.3,9.1,9,8.8,8.3,7.9,7.2
Autrans-Méaudre en Vercors (38112),/management/ville/autrans-meaudre-en-vercors/ville-38225,7.2,7.4,7.1,7.1,6.4,6,7.7,7.5,7.3,7.7,8,8,8.3,8.2,7.6,7.3,6.8
Autrèche (37110),/management/ville/autreche/ville-37009,7.2,7.6,7.4,7.4,6.6,6.2,7.7,7.9,7.7,8.4,9,9.1,9.3,9.2,8.5,8.2,7.8
Autrechêne (90140),/management/ville/autrechene/ville-90082,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Autrêches (60350),/management/ville/autreches/ville-60032,7.9,8.3,8.4,8.4,7.4,7,9.2,9.2,9.2,10,10.4,10,10,9.8,9.3,9,8.3
Autrecourt-et-Pourron (08210),/management/ville/autrecourt-et-pourron/ville-08034,12.1,12.3,12.7,12.7,11.2,10.5,12.5,11.4,11.3,12.5,13.2,13,13.2,12.7,11.7,10.9,10.4
Autrécourt-sur-Aire (55120),/management/ville/autrecourt-sur-aire/ville-55017,7.8,8.5,9.7,9.7,9.1,8.5,10.5,10.4,10.6,11.3,11.7,11.3,11.1,10.8,10.1,9.8,9
Autremencourt (02250),/management/ville/autremencourt/ville-02039,8.6,9.3,9.6,9.6,8.9,8.6,10.5,11.2,11.5,12.5,13.1,12.7,12.7,12.5,11.7,11,10.3
Autrepierre (54450),/management/ville/autrepierre/ville-54030,5.6,6.1,6.1,6.1,5.3,5.3,7.4,7.2,6.8,7.3,8.1,8.2,8.3,8,7.1,6.7,6.3
Autreppes (02580),/management/ville/autreppes/ville-02040,12.8,13.4,13.9,13.9,12.7,12.6,14.8,15.3,15.4,16.6,17.3,17.1,17,16.6,15.7,15.3,14.2
Autreville (02300),/management/ville/autreville/ville-02041,11.2,11.6,12.1,12.1,10.8,10.6,13.3,13.3,13.5,15.1,15.5,15.3,15.4,15.3,14.3,14,13.1
Autreville (88300),/management/ville/autreville/ville-88020,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Autréville-Saint-Lambert (55700),/management/ville/autreville-saint-lambert/ville-55018,7.8,8.5,9.7,9.7,9.1,8.5,10.5,10.4,10.6,11.3,11.7,11.3,11.1,10.8,10.1,9.8,9
Autreville-sur-la-Renne (52120),/management/ville/autreville-sur-la-renne/ville-52031,6.4,7,7.2,7.2,6.1,5.9,7.8,7.2,6.9,7.3,7.7,7.5,7.6,7.4,6.6,6.3,5.7
Autreville-sur-Moselle (54380),/management/ville/autreville-sur-moselle/ville-54031,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Autrey (54160),/management/ville/autrey/ville-54032,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Autrey (88700),/management/ville/autrey/ville-88021,8.8,9.1,9.7,9.7,8.6,8.2,10.1,9.8,9.9,10.9,11.6,11.8,11.9,11.1,10.2,9.5,8.9
Autrey-le-Vay (70110),/management/ville/autrey-le-vay/ville-70042,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Autrey-lès-Cerre (70110),/management/ville/autrey-les-cerre/ville-70040,6.4,6.9,7.9,7.9,7.1,6.7,8.9,8.3,8.1,9.2,9.9,9.9,9.6,8.8,8.2,7.8,7.6
Autrey-lès-Gray (70100),/management/ville/autrey-les-gray/ville-70041,7,7.2,7.5,7.5,6.5,6.3,8.5,7.7,7.7,8.8,9.5,9.7,9.7,9.4,8.9,8.2,7.8
Autricourt (21570),/management/ville/autricourt/ville-21034,6.4,6.2,7.4,7.4,6.6,6,8.1,8.6,8.5,9.3,9.6,9.6,9.7,9.6,8.9,8.5,7.8
Autruche (08240),/management/ville/autruche/ville-08035,12.1,12.3,12.7,12.7,11.2,10.5,12.5,11.4,11.3,12.5,13.2,13,13.2,12.7,11.7,10.9,10.4
Autruy-sur-Juine (45480),/management/ville/autruy-sur-juine/ville-45015,5.8,6.1,6.5,6.5,6,5.4,7,7.5,7.6,8.6,9.1,9.2,9.4,9.5,8.4,7.9,7.8
Autry (08250),/management/ville/autry/ville-08036,8.3,8.7,9.1,9.1,8,7.5,9.3,9.1,9.3,10,10.8,10.9,10.9,10.5,9.7,9.3,8.9
Autry-Issards (03210),/management/ville/autry-issards/ville-03012,6.3,6.6,6.9,6.9,6.2,5.8,7.5,7.7,7.7,8.2,8.5,8.6,8.9,8.8,8.4,8.1,7.9
Autry-le-Châtel (45500),/management/ville/autry-le-chatel/ville-45016,6.3,7,7.2,7.2,6.5,6.8,9.3,9.3,9.5,10.3,11,10.9,10.8,10.6,9.5,9.2,8.8
Autun (71400),/management/ville/autun/ville-71014,9,9.3,8.9,8.9,7.8,7.6,8.9,8.9,8.6,9,9.7,10,10.7,10.5,9.7,9.7,8.8
Auty (82220),/management/ville/auty/ville-82007,8.4,8.6,9.2,9.2,8.7,8.1,9.5,9.9,10.1,10.7,11.3,11.4,11.9,11.8,11.1,10.6,9.8
Auvare (06260),/management/ville/auvare/ville-06008,8.1,8.1,7.9,7.9,7.2,6.6,8.2,8.3,8.5,9.3,10.1,10.5,10.8,10.6,10,9.7,9
Auve (51800),/management/ville/auve/ville-51027,6,6.3,6.8,6.8,6.4,6,7.5,7.4,7.5,8.4,9.2,8.9,8.8,8.4,7.8,7.6,6.9
Auvernaux (91830),/management/ville/auvernaux/ville-91037,7.5,8,7.4,7.4,6.4,5.8,7.4,7.7,7.6,8.2,8.8,9.1,9.1,9,8.4,8.2,7.3
Auvers (43300),/management/ville/auvers/ville-43015,6.9,7.3,7.5,7.5,7.2,6.7,8,7.5,7.9,9,9.3,9.1,9,8.8,8.3,7.9,7.2
Auvers (50500),/management/ville/auvers/ville-50023,9,9.5,9.6,9.6,8.6,7.9,9.4,9.2,9.1,9.3,9.6,9.5,9.4,8.9,8,7.3,6.7
Auvers-le-Hamon (72300),/management/ville/auvers-le-hamon/ville-72016,5.6,6,6.7,6.7,6.1,6,8.3,8,7.3,8,8.4,8.4,8.7,8.4,7.8,7.5,6.7
Auvers-Saint-Georges (91580),/management/ville/auvers-saint-georges/ville-91038,6.2,6.3,6.1,6.1,5.2,4.9,6.1,6.5,6.5,7,7.5,7.4,7.6,7.4,6.8,6.6,6.1
Auvers-sous-Montfaucon (72540),/management/ville/auvers-sous-montfaucon/ville-72017,6.7,7.2,7.9,7.9,7,6.5,8.7,8.8,8.5,9.2,10,10.1,10.3,9.9,9.1,8.7,8.4
Auvers-sur-Oise (95430),/management/ville/auvers-sur-oise/ville-95039,7,7.7,7.2,7.2,6.5,5.8,7.4,7.8,7.8,8.3,8.9,8.9,9,8.9,8.3,8.2,7.6
Auvet-et-la-Chapelotte (70100),/management/ville/auvet-et-la-chapelotte/ville-70043,7,7.2,7.5,7.5,6.5,6.3,8.5,7.7,7.7,8.8,9.5,9.7,9.7,9.4,8.9,8.2,7.8
Auvillar (82340),/management/ville/auvillar/ville-82008,8.4,8.6,9.2,9.2,8.7,8.1,9.5,9.9,10.1,10.7,11.3,11.4,11.9,11.8,11.1,10.6,9.8
Auvillars (14340),/management/ville/auvillars/ville-14033,8.5,8.7,8.8,8.8,7.8,7,8.8,8.9,8.9,9.4,9.8,9.8,10,9.6,8.9,8.6,7.9
Auvillars-sur-Saône (21250),/management/ville/auvillars-sur-saone/ville-21035,6.9,7.1,6.9,6.9,6.3,5.8,7.3,7.5,7.3,8,8.6,8.5,8.8,8.4,7.8,7.4,7
Auvillers-les-Forges (08260),/management/ville/auvillers-les-forges/ville-08037,12.1,12.3,12.7,12.7,11.2,10.5,12.5,11.4,11.3,12.5,13.2,13,13.2,12.7,11.7,10.9,10.4
Auvilliers (76270),/management/ville/auvilliers/ville-76042,7.8,8.2,8,8,7.2,7.4,10.7,9.6,9.3,10,10.6,10.3,10.5,10.5,9.5,9.2,8.7
Auvilliers-en-Gâtinais (45270),/management/ville/auvilliers-en-gatinais/ville-45017,8.1,8.8,9.3,9.3,8.4,7.9,10.1,10.9,11,12.2,13,13,13.2,13,12,11.8,11.5
