ville,lien,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abzac (16500),/management/ville/abzac/ville-16001,8.3,8.6,8.7,8.7,8.1,7.7,9.2,9.1,9.4,10.4,10.6,10.4,10.5,10.1,9.3,8.9,8.3
Abzac (33230),/management/ville/abzac/ville-33001,8.1,8.4,8.8,8.8,8.1,7.8,9.5,10,10.2,10.8,11.1,11.1,11.4,11.2,10.6,10.1,9.6
Accolans (25250),/management/ville/accolans/ville-25005,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Accons (07160),/management/ville/accons/ville-07001,8.4,8.6,8.2,8.2,7.4,7.1,8.6,8.7,8.7,9.5,9.9,9.8,10.1,9.9,9.3,9.1,8.3
Accous (64490),/management/ville/accous/ville-64006,6.3,6.5,6.4,6.4,5.8,6.1,7.4,6.9,6.8,7.2,7.4,7.3,7.1,7,6.6,6.3,5.9
Achain (57340),/management/ville/achain/ville-57004,10.8,11.9,12.3,12.3,10.7,9.6,12.5,12.4,11.9,12.5,13.7,13.5,13.5,13.1,12.4,11.4,10.8
Achen (57412),/management/ville/achen/ville-57006,7.6,8.1,8.3,8.3,7.4,6.9,9.2,9,8.9,9.1,10.2,9.9,9.6,9.5,8.9,8.2,7.8
Achenheim (67204),/management/ville/achenheim/ville-67001,7.4,8.1,8.8,8.8,7.9,7.4,9.2,9.4,9.2,9.6,10.1,10.2,10.4,10.2,9.6,9.1,8.6
Achères (18250),/management/ville/acheres/ville-18001,7.4,8,8,8,7.1,6.4,7.9,8.5,8.6,9.1,9.8,9.7,10,9.9,9.2,8.8,8.3
Achères (78260),/management/ville/acheres/ville-78005,7.4,8,7.6,7.6,7.1,6.3,7.7,7.8,7.7,8.1,8.6,8.8,9.1,9,8.6,8.6,8
